model,parameters,best_epoch,best_val_accuracy,best_val_loss,runtime_seconds,checkpoint_size_bytes,learning_rate,batch_size,epochs
SimpleCNN,6446498,10,0.8277,0.3696,1497.20,77371227,0.001,32,10
SimpleCNNGAP,32162,8,0.7672,0.494508,892.24,399443,0.001,32,10
SimpleCNNGAPBatchNorm,32386,9,0.773867,0.486278,897.46,413289,0.001,32,10
SimpleCNNGAPBatchNormDropout,32386,9,0.7456,0.527677,802.56,413985,0.001,32,10
WideCNNGAPBatchNorm,110466,10,0.788533,0.451519,1106.40,1350923,0.001,32,10
DeepCNNGAPBatchNorm,422530,8,0.814933,0.410582,1297.86,5103625,0.001,32,10
ResidualCNN,1226914,10,0.762933,0.494965,3155.27,14793819,0.001,32,10
ResNetStyleCNN,4906818,10,0.887733,0.267854,1219.71,58965091,0.001,32,10
